abseil-cpp 20230802.1-1
acl 2.3.2-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
ant 1.10.14-1
aom 3.8.1-1
archlinux-keyring 20240208-1
argon2 20190702-5
asar 3.2.8-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
base 3-2
base-devel 1-1
bash 5.2.026-2
baup-git 0.2.0-1
biber 1:2.19-2
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
bluez 5.72-2
bluez-libs 5.72-2
bluez-utils 5.72-2
boost 1.83.0-5
boost-libs 1.83.0-5
box2d 2.4.1-2
brightnessctl 0.5.1-2
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.98-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
catch2 3.5.2-1
cblas 3.12.0-3
chrono-date 3.0.1-3
clang 16.0.6-2
clucene 2.3.3.4-14
cmake 3.28.3-1
colord 1.4.7-2
compiler-rt 16.0.6-3
coreutils 9.4-3
cppdap 1.58.0-1
cryptsetup 2.7.0-3
curl 8.6.0-3
dav1d 1.4.0-1
db 6.2.32-1
db5.3 5.3.28-4
dblatex 0.3.12-8
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dconf 0.40.0-2
debugedit 5.0-5
debuginfod 0.191-1
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
diffutils 3.10-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dos2unix 7.5.2-1
double-conversion 3.3.0-1
dracula-gtk-theme v4.0.0-1
dracula-icons-git 1.0.0.2d3c83ca-2
duktape 2.7.0-6
dvisvgm 3.2.1-1
e2fsprogs 1.47.0-1
eclipse-java 2:4.30-1
eclipse-java-debug 2:4.30-1
efibootmgr 18-2
efivar 39-1
electron 1:28-1
electron25 25.9.8-5
electron28 28.2.5-4
elementary-icon-theme 7.3.1-1
enchant 2.6.5-1
evtest 1.35-1
exo 4.18.0-1
expat 2.6.1-1
expect 5.45.4-4
fakeroot 1.33-2
ffcall 2.4-2
ffmpeg 2:6.1.1-6
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 123.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse3 3.16.2-1
garcon 4.18.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.1-1
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
gettext 0.22.4-1
ghostscript 10.02.1-1
giflib 5.2.2-1
girara 0.4.3-2
git 2.44.0-1
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.4.4-1
gnuplot 6.0.0-1
gnutls 3.8.3-1
go 2:1.22.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gradle 8.6-1
graphicsmagick 1.3.42-3
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
grml-zsh-config 0.19.7-1
groff 1.23.0-5
grub 2:2.12-1
gsettings-desktop-schemas 45.0-1
gsl 2.7.1-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugin-pipewire 1:1.0.3-1
gst-plugins-bad-libs 1.22.10-1
gst-plugins-base-libs 1.22.10-1
gstreamer 1.22.10-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
